RSRP (dB),MCS,SINR (dB),DL Brate (bps),BLER (%),Distance (inches)
-63,1,7,2.1M,0,38
-65,1,7,1.8M,0,38
-65,1,7,2.0M,0,38
-63,1,7,2.0M,0,40
-63,3,7,3.1M,0,40
-63,5,7,4.2M,0,40
-62,5,7,4.6M,1,40
-62,5,7,4.4M,4,40
-61,6,7,4.8M,4,40
-62,6,7,4.8M,2,40
-63,5,7,4.3M,6,40
-64,5,7,4.4M,1,40
-64,6,7,5.0M,1,40
-65,6,7,4.7M,3,40
-67,5,7,4.1M,0,40
-67,5,7,4.6M,3,40
-67,6,7,5.2M,5,40
-67,6,7,5.1M,1,40
-66,6,7,5.4M,2,40
-65,6,7,5.4M,4,40
-65,7,7,5.3M,4,40
-65,6,7,5.5M,1,40
-65,7,7,5.1M,7,40
-66,6,7,4.8M,1,40
-67,6,7,5.4M,2,40
-66,7,7,4.4M,6,40
-66,5,7,4.1M,0,40
-65,6,7,4.9M,4,40
-62,6,7,4.7M,2,40
-63,6,7,4.8M,3,40
-63,5,7,4.6M,1,40
-64,5,7,4.6M,1,40
-66,5,7,4.2M,3,40
-63,5,7,4.5M,1,40
-63,5,7,4.6M,1,40
-62,6,7,5.0M,4,40
-63,5,7,4.5M,4,40
-63,5,7,4.6M,1,40
-62,5,7,4.3M,0,40
-63,5,7,4.6M,2,40
-65,5,7,4.1M,2,40
-63,4,7,4.0M,1,40
-64,5,7,4.1M,0,40
-62,5,7,4.4M,0,40
-62,5,7,4.6M,2,40
-63,5,7,4.5M,3,40
-64,6,7,5.1M,3,40
-61,6,7,4.5M,4,40
-62,6,7,4.7M,4,40
-64,5,7,4.2M,0,40
-63,6,7,4.7M,2,40
-64,4,7,4.0M,0,40
-62,4,7,3.9M,0,40
-61,5,7,4.3M,0,40
-62,5,7,4.5M,3,40
-62,6,7,4.8M,4,40
-62,5,7,4.6M,2,40
-63,5,7,4.4M,0,40
-63,5,7,4.5M,1,40
-63,6,7,5.2M,3,40
-63,5,7,4.4M,2,40
-63,6,7,4.8M,3,40
-63,5,7,4.6M,2,40
-63,6,7,4.8M,1,40
-63,6,7,4.7M,4,40
-64,6,7,4.8M,2,40
-63,5,7,4.5M,2,40
-62,5,7,4.5M,3,40
-64,5,7,4.3M,0,40
-63,5,7,4.2M,0,40
-63,5,7,4.3M,0,40
-63,4,7,3.5M,0,40
-63,5,7,4.2M,0,40
-63,4,7,3.5M,0,40
-63,3,7,2.8M,0,40
-63,5,7,4.2M,0,40
-63,4,7,4.1M,0,40
-63,5,7,4.3M,0,40
-63,5,7,4.3M,1,40
-63,5,7,4.2M,0,40
-63,5,7,4.4M,0,40
-63,2,7,2.8M,0,40
-62,2,7,2.4M,0,40
-64,4,7,3.5M,0,40
-64,5,7,4.2M,0,40
-64,5,7,4.2M,0,40
-62,5,7,4.3M,0,40
-64,5,7,4.3M,0,40
-63,2,7,2.4M,0,40
-63,4,7,4.0M,0,40
-63,5,7,4.3M,0,40
-63,5,7,4.1M,0,40
-63,5,7,4.3M,0,40
-62,6,7,4.6M,3,40
-61,6,7,4.8M,4,40
-64,5,7,4.7M,2,40
-63,6,7,5.1M,4,40
-62,5,7,4.3M,3,40
-63,5,7,4.2M,0,40
-64,4,7,3.6M,0,40
-63,4,7,3.6M,0,40
-62,5,7,4.2M,0,40
-63,5,7,4.5M,1,40
-68,2,9,1.3M,5,42
-67,2,10,1.4M,5,42
-69,0,6,1.3M,0,42
-68,1,7,1.6M,0,42
-69,1,6,2.0M,0,42
-67,2,7,2.3M,0,42
-68,3,6,3.2M,2,42
-69,3,7,2.9M,4,42
-69,2,6,1.8M,0,42
-69,3,7,1.8M,7,42
-70,0,6,1.4M,3,42
-70,1,6,1.6M,0,42
-71,1,6,1.9M,0,42
-72,2,6,2.4M,1,42
-72,1,6,2.0M,0,42
-71,2,6,2.2M,0,42
-70,3,7,1.8M,10,42
-71,1,7,1.3M,5,42
-71,2,6,1.4M,0,42
-71,1,6,1.8M,0,42
-72,1,6,1.8M,0,42
-72,1,6,1.9M,1,42
-71,3,6,2.4M,5,42
-71,0,6,1.5M,0,42
-71,1,6,1.9M,0,42
-71,1,6,1.8M,2,42
-71,1,6,1.9M,0,42
-71,1,6,2.1M,0,42
-71,1,6,1.9M,0,42
-71,1,6,1.9M,0,42
-72,3,6,2.8M,3,42
-71,1,6,1.9M,0,42
-71,1,6,1.9M,0,42
-72,3,6,2.5M,3,42
-71,1,6,1.9M,0,42
-72,2,6,2.6M,0,42
-71,4,6,3.4M,1,42
-72,3,6,2.9M,1,42
-72,3,6,3.3M,2,42
-71,2,6,2.0M,4,42
-71,1,6,1.9M,0,42
-72,3,6,2.8M,2,42
-72,3,6,2.8M,0,42
-69,3,6,3.0M,1,42
-69,3,6,2.9M,2,42
-69,2,6,2.6M,0,42
-70,4,6,3.8M,0,42
-70,3,6,2.5M,3,42
-69,1,6,1.9M,0,42
-68,2,6,2.0M,0,42
-69,2,7,2.1M,1,42
-69,2,8,1.4M,3,42
-69,1,7,1.4M,3,42
-69,1,6,1.7M,0,42
-68,2,6,2.1M,0,42
-69,2,6,2.0M,0,42
-70,1,6,2.0M,0,42
-70,1,6,1.8M,4,42
-69,1,6,1.5M,0,42
-68,1,7,1.6M,0,42
-66,3,8,1.7M,7,42
-69,0,6,1.2M,2,42
-68,1,6,1.3M,0,42
-69,1,6,1.8M,0,42
-68,1,7,2.0M,0,42
-67,1,7,1.9M,0,42
-66,4,9,2.0M,10,42
-68,0,7,1.4M,0,42
-69,1,6,1.8M,0,42
-70,2,6,2.0M,0,42
-69,2,6,2.1M,0,42
-68,2,6,2.1M,0,42
-69,1,6,1.8M,0,42
-71,1,6,1.8M,0,42
-69,2,6,2.0M,0,42
-67,1,7,1.7M,3,42
-68,0,7,1.3M,0,42
-69,1,6,2.0M,0,42
-70,1,6,1.7M,0,42
-70,1,6,1.8M,0,42
-71,1,6,1.8M,1,42
-70,1,6,2.0M,0,42
-70,1,6,1.9M,0,42
-70,1,6,1.8M,0,42
-68,2,7,1.9M,3,42
-67,2,11,1.1M,3,42
-69,1,6,1.6M,0,42
-70,0,6,1.6M,0,42
-70,2,6,1.9M,0,42
-71,2,6,2.1M,0,42
-70,2,6,2.6M,0,42
-70,2,6,2.6M,0,42
-72,2,6,2.3M,0,42
-71,3,6,2.8M,0,42
-70,3,6,3.0M,1,42
-71,3,6,3.2M,0,42
-71,3,6,3.0M,1,42
-72,1,6,1.9M,0,42
-71,2,6,2.5M,0,42
-71,2,6,2.6M,1,42
-63,2,7,2.3M,0,44
-63,5,7,3.8M,5,44
-63,3,7,2.9M,0,44
-63,5,7,4.1M,0,44
-63,5,7,4.2M,0,44
-64,5,7,4.1M,0,44
-63,5,7,4.1M,0,44
-62,6,9,3.5M,7,44
-57,15,19,2.1M,44,44
-63,0,7,1.4M,1,44
-62,1,7,1.4M,0,44
-63,0,7,1.6M,0,44
-63,2,7,2.3M,0,44
-64,2,7,2.4M,0,44
-64,4,7,3.5M,0,44
-63,3,7,3.0M,0,44
-63,2,7,2.4M,0,44
-63,2,7,2.2M,0,44
-63,5,7,4.3M,0,44
-63,4,7,3.5M,0,44
-63,4,7,2.9M,5,44
-63,2,7,2.5M,0,44
-65,2,7,2.1M,0,44
-65,2,7,2.2M,0,44
-65,2,7,2.1M,0,44
-65,2,7,2.3M,0,44
-65,2,7,2.3M,0,44
-64,2,7,2.4M,0,44
-64,2,7,2.4M,0,44
-64,2,7,2.3M,0,44
-64,2,7,2.4M,2,44
-64,2,7,2.3M,0,44
-64,3,7,2.8M,0,44
-64,4,7,3.6M,1,44
-64,2,7,2.7M,0,44
-64,5,7,4.2M,0,44
-64,5,7,4.1M,0,44
-65,4,7,4.1M,0,44
-65,4,7,4.0M,0,44
-63,3,7,3.0M,0,44
-65,2,7,2.3M,0,44
-64,2,7,2.5M,0,44
-64,4,7,4.1M,0,44
-63,5,7,4.1M,0,44
-64,5,7,4.1M,0,44
-65,5,7,4.2M,1,44
-64,5,7,4.6M,1,44
-64,4,7,4.1M,0,44
-64,4,7,4.1M,0,44
-64,5,7,4.1M,1,44
-64,5,7,4.2M,1,44
-64,5,7,4.1M,0,44
-64,5,7,4.5M,0,44
-64,5,7,4.3M,0,44
-63,3,7,3.1M,0,44
-64,2,7,2.4M,0,44
-63,3,7,3.4M,0,44
-64,5,7,4.1M,0,44
-65,4,7,3.9M,0,44
-64,4,7,4.1M,0,44
-63,5,7,4.2M,0,44
-63,5,7,4.5M,0,44
-63,5,7,4.5M,0,44
-62,5,7,4.2M,0,44
-62,5,7,4.5M,1,44
-62,5,7,4.2M,0,44
-62,5,7,4.3M,1,44
-62,5,7,4.5M,1,44
-63,5,8,4.4M,0,44
-62,2,7,2.5M,0,44
-62,2,7,2.5M,0,44
-63,4,7,4.0M,0,44
-62,5,7,4.2M,0,44
-62,4,7,4.0M,0,44
-62,3,7,2.8M,0,44
-63,3,7,3.3M,0,44
-63,5,7,4.3M,0,44
-62,4,7,4.1M,0,44
-62,5,7,4.3M,0,44
-62,5,7,4.3M,0,44
-63,5,7,4.7M,1,44
-64,5,7,4.3M,0,44
-63,5,7,4.2M,0,44
-63,5,7,4.2M,0,44
-64,5,7,4.1M,0,44
-63,4,7,3.9M,0,44
-62,3,7,3.4M,0,44
-63,2,7,2.3M,0,44
-63,4,7,3.7M,0,44
-64,4,7,3.8M,0,44
-63,5,7,4.2M,0,44
-63,2,7,2.5M,0,44
-64,2,7,2.2M,0,44
-63,2,7,2.5M,0,44
-64,2,7,2.5M,0,44
-63,5,7,4.1M,0,44
-64,4,7,4.1M,0,44
-64,5,7,4.2M,0,44
-63,5,7,3.6M,7,44
-65,2,7,2.7M,0,44
-64,3,7,2.8M,0,46
-64,5,7,4.2M,0,46
-64,6,7,5.1M,5,46
-64,6,7,5.1M,5,46
-64,6,7,5.0M,3,46
-64,6,7,4.9M,5,46
-64,6,7,5.4M,2,46
-64,6,7,5.4M,3,46
-64,6,7,4.8M,7,46
-65,6,7,5.0M,4,46
-64,6,7,4.7M,4,46
-64,6,7,4.9M,4,46
-64,6,7,5.2M,4,46
-63,6,7,4.7M,3,46
-62,6,7,4.9M,4,46
-63,6,7,5.4M,2,46
-63,7,7,4.5M,11,46
-63,5,7,4.2M,0,46
-63,6,7,5.1M,4,46
-63,6,7,5.2M,4,46
-63,6,7,5.2M,3,46
-64,6,7,5.0M,3,46
-64,6,7,5.0M,5,46
-64,6,7,5.3M,3,46
-64,6,7,4.6M,4,46
-64,6,7,5.0M,5,46
-63,6,7,4.9M,4,46
-64,6,7,5.0M,5,46
-64,6,7,4.7M,3,46
-64,6,7,4.8M,3,46
-64,6,7,5.4M,3,46
-64,6,7,5.2M,4,46
-64,6,7,5.2M,4,46
-64,6,7,4.7M,4,46
-63,6,7,4.8M,5,46
-64,6,7,4.8M,3,46
-63,6,7,4.7M,5,46
-63,6,7,4.9M,3,46
-63,6,7,4.7M,5,46
-63,6,7,5.2M,4,46
-63,6,7,5.1M,4,46
-63,6,7,5.2M,4,46
-63,6,7,4.8M,4,46
-63,6,7,5.1M,5,46
-64,5,7,4.6M,2,46
-63,6,7,5.1M,2,46
-64,7,7,5.3M,5,46
-63,7,7,5.3M,6,46
-63,6,7,5.0M,4,46
-64,6,7,5.0M,2,46
-64,6,7,4.8M,4,46
-64,6,7,4.9M,4,46
-63,6,7,5.1M,4,46
-64,6,7,4.9M,4,46
-64,6,7,4.8M,5,46
-64,6,7,5.0M,4,46
-64,6,7,4.9M,4,46
-64,6,7,5.0M,4,46
-64,6,7,5.2M,5,46
-64,5,7,4.6M,3,46
-64,6,7,5.1M,4,46
-64,6,7,4.9M,2,46
-64,6,7,4.8M,5,46
-64,6,7,5.1M,4,46
-64,6,7,5.0M,4,46
-64,6,7,4.6M,4,46
-64,6,7,4.8M,3,46
-63,6,7,5.0M,5,46
-63,6,7,5.3M,1,46
-64,6,7,4.9M,6,46
-64,6,7,5.0M,5,46
-64,6,7,4.9M,3,46
-63,7,7,5.3M,5,46
-64,6,7,4.9M,4,46
-64,6,7,4.6M,5,46
-65,6,7,4.9M,4,46
-64,6,7,4.7M,4,46
-64,6,7,5.1M,2,46
-63,6,7,4.8M,5,46
-64,6,7,5.3M,3,46
-64,6,7,4.7M,5,46
-64,6,7,4.7M,4,46
-64,6,7,5.1M,2,46
-64,6,7,5.1M,6,46
-64,6,7,5.0M,4,46
-64,6,7,4.9M,4,46
-64,6,7,5.1M,4,46
-64,6,7,5.2M,3,46
-63,6,7,5.1M,4,46
-64,6,7,4.6M,5,46
-64,6,7,5.0M,4,46
-64,6,7,5.1M,4,46
-65,5,7,4.6M,4,46
-64,6,7,5.0M,2,46
-65,6,7,4.9M,5,46
-66,6,7,5.3M,3,46
-66,6,7,5.2M,5,46
-66,6,7,5.3M,3,46
-66,6,7,5.3M,5,46
-66,6,7,5.1M,4,46
-67,3,7,3.0M,1,48
-68,4,7,3.8M,0,48
-68,4,7,3.9M,1,48
-67,5,7,4.1M,2,48
-67,5,7,4.2M,4,48
-68,4,6,3.8M,3,48
-67,5,7,4.5M,4,48
-68,4,6,3.8M,5,48
-70,4,6,3.4M,4,48
-68,4,7,3.7M,2,48
-69,4,6,3.8M,0,48
-69,4,7,3.8M,1,48
-69,4,6,3.8M,1,48
-69,4,6,3.8M,2,48
-68,4,7,3.7M,3,48
-67,4,7,3.8M,3,48
-69,4,6,3.7M,1,48
-70,4,6,3.7M,1,48
-68,5,7,4.0M,1,48
-69,5,6,4.1M,2,48
-68,6,7,4.9M,2,48
-68,5,7,4.5M,3,48
-67,5,7,4.2M,2,48
-67,4,7,4.0M,1,48
-69,4,6,3.3M,3,48
-68,4,7,3.7M,3,48
-68,4,7,3.7M,0,48
-67,4,7,3.8M,3,48
-68,4,7,3.8M,0,48
-68,4,7,3.9M,0,48
-68,4,7,3.1M,5,48
-67,1,7,1.7M,0,48
-67,2,7,2.1M,0,48
-68,4,7,3.7M,1,48
-67,4,7,3.9M,1,48
-68,4,7,3.5M,4,48
-67,2,7,2.0M,4,48
-67,3,7,3.1M,0,48
-67,4,7,3.6M,3,48
-68,4,7,3.5M,2,48
-68,3,7,2.8M,2,48
-69,2,6,2.6M,1,48
-68,2,7,2.4M,1,48
-68,3,7,3.2M,0,48
-69,4,7,3.8M,2,48
-69,4,6,3.8M,2,48
-69,4,7,3.8M,2,48
-68,4,7,3.8M,2,48
-68,4,7,3.8M,3,48
-69,4,7,3.8M,1,48
-70,2,6,1.8M,6,48
-70,2,6,2.1M,0,48
-70,2,6,2.2M,0,48
-71,3,6,2.9M,2,48
-70,2,6,2.6M,1,48
-70,3,6,2.8M,1,48
-71,3,6,2.7M,0,48
-71,2,6,2.2M,0,48
-70,3,6,3.0M,2,48
-70,3,6,2.7M,1,48
-70,3,6,2.7M,1,48
-68,4,6,3.7M,2,48
-69,4,6,3.8M,0,48
-68,4,7,3.9M,3,48
-69,4,7,3.8M,1,48
-68,4,7,3.9M,1,48
-68,4,7,3.8M,1,48
-68,4,7,3.8M,3,48
-68,4,7,3.7M,2,48
-67,4,7,3.7M,0,48
-67,4,7,3.9M,1,48
-68,4,7,3.8M,3,48
-67,4,7,3.9M,2,48
-68,4,7,3.9M,1,48
-67,4,7,3.9M,2,48
-67,4,7,3.8M,1,48
-67,5,7,3.8M,5,48
-68,4,7,3.8M,1,48
-68,4,7,3.8M,5,48
-68,4,7,3.5M,3,48
-68,4,7,3.7M,3,48
-68,4,7,3.5M,2,48
-67,3,7,3.2M,1,48
-67,4,7,3.8M,0,48
-67,4,7,3.8M,0,48
-68,4,7,3.8M,2,48
-68,4,7,3.8M,2,48
-68,4,7,3.8M,3,48
-67,4,7,3.8M,3,48
-67,4,7,3.9M,2,48
-68,4,7,3.8M,0,48
-68,4,7,3.8M,1,48
-67,4,7,3.9M,1,48
-67,4,7,3.8M,2,48
-67,4,7,3.8M,3,48
-68,4,7,3.8M,1,48
-68,4,7,3.1M,6,48
-68,4,7,3.4M,3,48
-67,4,7,3.5M,2,48
-68,4,7,3.5M,3,48
-68,4,7,3.9M,2,50
-67,4,7,3.8M,3,50
-67,4,7,3.8M,3,50
-67,4,7,3.9M,3,50
-68,5,7,4.1M,4,50
-70,4,6,3.8M,2,50
-69,5,6,3.9M,3,50
-68,5,7,4.0M,3,50
-68,4,7,3.9M,2,50
-68,4,7,3.9M,1,50
-67,5,7,3.9M,5,50
-67,5,7,4.2M,2,50
-67,5,7,4.1M,2,50
-67,5,7,3.9M,5,50
-67,4,7,3.9M,0,50
-68,4,7,3.9M,2,50
-69,5,6,4.2M,3,50
-68,5,7,4.0M,3,50
-68,5,7,4.2M,2,50
-68,5,7,4.0M,2,50
-68,4,7,3.9M,4,50
-67,4,7,3.9M,3,50
-68,4,7,3.8M,0,50
-68,4,7,3.8M,3,50
-68,4,7,4.0M,1,50
-68,5,7,4.1M,4,50
-69,4,6,3.8M,4,50
-69,4,6,3.7M,4,50
-66,4,7,3.9M,0,50
-66,5,7,4.6M,2,50
-66,5,7,4.4M,3,50
-65,4,7,3.8M,3,50
-66,4,7,3.9M,2,50
-65,5,7,4.0M,4,50
-65,4,7,3.8M,4,50
-65,4,7,3.9M,3,50
-65,4,7,3.9M,4,50
-65,4,7,3.8M,5,50
-66,4,7,3.9M,4,50
-66,4,7,4.0M,0,50
-66,5,7,4.5M,1,50
-66,6,7,4.1M,7,50
-66,4,7,3.9M,1,50
-66,5,7,4.1M,1,50
-67,6,7,5.0M,4,50
-66,4,7,4.0M,2,50
-66,5,7,4.3M,3,50
-67,5,7,4.7M,3,50
-66,5,7,4.2M,4,50
-66,5,7,4.1M,3,50
-66,4,7,3.8M,5,50
-66,4,7,3.9M,2,50
-66,4,7,3.8M,5,50
-66,4,7,3.8M,2,50
-67,4,7,3.9M,2,50
-66,4,7,3.9M,0,50
-67,5,7,3.9M,4,50
-67,4,7,3.9M,0,50
-67,5,7,4.2M,2,50
-67,4,7,3.9M,3,50
-66,4,7,3.8M,3,50
-66,4,7,3.9M,2,50
-67,6,7,4.8M,3,50
-67,5,7,4.2M,3,50
-66,4,7,3.9M,3,50
-66,5,7,3.9M,5,50
-66,4,7,3.8M,2,50
-66,5,7,4.2M,3,50
-65,5,7,4.5M,4,50
-65,5,7,4.1M,4,50
-66,3,7,3.0M,5,50
-67,4,7,3.8M,0,50
-67,4,7,3.9M,0,50
-66,5,7,4.0M,3,50
-65,5,7,4.0M,4,50
-66,4,7,3.9M,4,50
-66,4,7,3.7M,7,50
-65,4,7,3.4M,2,50
-65,4,7,2.4M,5,50
-65,2,7,2.3M,1,50
-66,2,7,2.3M,1,50
-66,2,7,2.1M,0,50
-66,2,7,2.4M,0,50
-66,3,7,2.8M,2,50
-66,4,7,3.5M,2,50
-66,3,7,3.2M,2,50
-66,3,7,2.8M,3,50
-66,2,7,2.2M,3,50
-66,2,7,2.5M,1,50
-66,3,7,2.8M,1,50
-66,4,7,2.4M,7,50
-66,2,7,2.4M,0,50
-66,2,7,2.4M,0,50
-65,2,7,2.5M,1,50
-65,2,7,2.3M,2,50
-65,2,7,2.4M,0,50
-65,4,7,3.5M,2,50
-65,3,7,3.1M,2,50
-65,3,7,3.0M,1,50
-65,4,7,3.8M,2,50
